"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.560310208E0,1.729311654E-1,2.793653458E-3,-4.125210643E-3
2.570265208E0,1.608174887E-1,-1.742119431E-2,-9.021084309E-3
2.580221208E0,1.224224415E-1,1.267764062E-2,-4.787700176E-3
2.590177208E0,8.387948711E-2,4.970060214E-3,-1.882569551E-2
2.600132208E0,7.453945090E-2,-9.455678612E-3,2.642766058E-2
2.610088208E0,6.927626702E-2,-5.360946581E-3,7.095420778E-2
2.620044208E0,1.128838101E-2,7.087190822E-3,1.237551498E-1
2.629999208E0,-6.033510684E-2,2.056063749E-2,1.326049107E-1
2.639955208E0,-1.020781144E-1,-8.516981229E-3,1.144194853E-1
2.649911208E0,-1.006088736E-1,-3.959982947E-2,1.205619854E-1
2.659866208E0,-8.792862000E-2,-6.375051118E-2,1.457061821E-1
2.669822208E0,-6.080967691E-2,-1.216551223E-1,1.560206705E-1
2.679778208E0,-6.302908811E-2,-1.213908282E-1,1.622444469E-1
2.689733208E0,-7.264966277E-2,-7.984672643E-2,1.387971121E-1
2.699689208E0,-5.044604905E-2,-4.535721727E-2,1.686407161E-1
2.709645208E0,2.787499721E-2,-9.804165356E-2,2.303966689E-1
2.719600208E0,-2.192764113E-3,-1.555798636E-1,3.817150086E-1
2.729556208E0,-1.314326171E-1,-4.260091290E-2,7.461456478E-2
2.739512208E0,-2.593153530E-1,-6.835073501E-2,-1.910285354E-1
2.749468208E0,-2.250708239E-1,-1.266581462E-1,7.742649078E-2
2.759423208E0,-1.177509090E-1,-1.255470291E-1,1.235750556E-1
2.769379208E0,1.392381932E-2,-1.019074671E-1,2.101781666E-2
2.779335208E0,1.244505482E-1,-1.876283795E-2,2.286202848E-2
2.789290208E0,2.015506182E-1,6.686042592E-2,6.772245169E-3
2.799246208E0,2.737882350E-1,1.243169211E-1,-4.275776446E-2
2.809202208E0,3.187355990E-1,1.321960442E-1,-1.056252730E-1
2.819157208E0,3.380605736E-1,9.931174189E-2,-1.947643214E-1
2.829113208E0,3.500647612E-1,6.672857121E-2,-2.217404509E-1
2.839069208E0,3.324044158E-1,2.413423643E-2,-1.631659681E-1
2.849024208E0,2.844329084E-1,1.020543784E-2,-5.410311699E-2
2.858980208E0,2.498694502E-1,1.961580053E-2,5.449020267E-2
2.868936208E0,2.809804930E-1,-2.227204442E-3,1.102983677E-1
2.878891208E0,2.465040121E-1,6.179776043E-3,9.627732933E-2
